pole_id,bus,feeder,bus_type,phase_count,phase_type,pole_height_ft,pole_height_m,longitude,latitude,depth_in_tree,parent_bus,parent_pole_id,span_ft_to_parent,span_m_to_parent,spacing_template
P0014,m1209797,S1,m,3,3-phase,40,12.19,-119.0819293,46.68476974,16,m1209800,P0011,247.4,75.41,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0015,m1209791,S1,m,3,3-phase,40,12.19,-119.0829379,46.68432474,17,m1209797,P0014,218.5,66.6,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0016,l3160863,S1,l,1,1-phase,35,10.67,-119.0820659,46.6875899,18,d5746703-1_int,,541.2,164.96,1ph-xx4_acsr4_acsr_C
P0017,m1209790,S1,m,3,3-phase,40,12.19,-119.0837637,46.68393902,18,m1209791,P0015,181.2,55.23,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0018,p903354,S1,p,1,1-phase,35,10.67,-119.0829151,46.68428048,18,m1209791,P0015,11.1,3.38,1ph-4_acsrxx1/0_3w_cs_A
P0019,l2730108,S1,l,1,1-phase,35,10.67,-119.0844061,46.69159994,19,l3160863,P0016,1019.6,310.77,1ph-xx4_acsr4_acsr_C
P0020,m1209788,S1,m,3,3-phase,40,12.19,-119.0846939,46.68360496,19,m1209790,P0017,194,59.13,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0021,l2936270,S1,l,1,1-phase,35,10.67,-119.0826115,46.6836912,19,p903354,P0018,147.3,44.9,1ph-4_acsrxx1/0_3w_cs_A
P0022,l2786204,S1,l,1,1-phase,35,10.67,-119.0850096,46.69269538,20,l2730108,P0019,276.8,84.37,1ph-xx4_acsr4_acsr_C
P0023,m1209787,S1,m,3,3-phase,40,12.19,-119.0863755,46.68298864,20,m1209788,P0020,351.7,107.2,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0024,m1209795,S1,m,1,1-phase,35,10.67,-119.0852669,46.68456954,20,m1209788,P0020,247.1,75.32,1ph-xx4_acsr4_acsr_C
P0025,l3086078,S1,l,1,1-phase,35,10.67,-119.0822217,46.68288854,20,l2936270,P0021,198.8,60.59,1ph-4_acsrxx4_acsr_A
P0026,m1209819,S1,m,1,1-phase,35,10.67,-119.0854995,46.69363256,21,l2786204,P0022,236.4,72.05,1ph-xx4_acsr4_acsr_C
P0027,l2823611,S1,l,3,3-phase,40,12.19,-119.088328,46.68227766,21,m1209787,P0023,408,124.36,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0028,l2936268,S1,l,1,1-phase,35,10.67,-119.0857426,46.68537016,21,m1209795,P0024,205.1,62.51,1ph-xx4_acsr4_acsr_C
P0029,m4118755,S1,m,1,1-phase,35,10.67,-119.0817472,46.68191154,21,l3086078,P0025,242,73.76,1ph-4_acsrxx4_acsr_A
P0030,l2936216,S1,l,1,1-phase,35,10.67,-119.0855799,46.69434362,22,m1209819,P0026,164,49.99,1ph-xx4_acsr4_acsr_C
P0031,l3030204,S1,l,3,3-phase,40,12.19,-119.0895302,46.6816312,22,l2823611,P0027,273.9,83.48,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0032,m1209782,S1,m,1,1-phase,35,10.67,-119.0816437,46.68128676,22,m4118755,P0029,144.8,44.14,1ph-4_acsrxx4_acsr_A
P0033,m1186072,S1,m,3,3-phase,40,12.19,-119.0900308,46.68128498,23,l3030204,P0031,220.5,67.21,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0034,l3217057,S1,l,1,1-phase,35,10.67,-119.0816104,46.68073364,23,m1209782,P0032,127.1,38.74,1ph-4_acsrxx4_acsr_A
P0035,l3217056,S1,l,1,1-phase,35,10.67,-119.0804285,46.68100206,23,m1209782,P0032,241.7,73.67,1ph-2_acsrxx2_acsr_A
P0036,m1209822,S1,m,1,1-phase,35,10.67,-119.0866104,46.7030783,24,226-23745,,1709.4,521.03,1ph-xx4_acsr4_acsr_C
P0037,l2992556,S1,l,1,1-phase,35,10.67,-119.0856707,46.7043255,25,m1209822,P0036,338.2,103.08,1ph-xx4_acsr4_wpal_C
P0038,m1209823,S1,m,1,1-phase,35,10.67,-119.0868673,46.70386394,25,m1209822,P0036,187,57,1ph-xx4_acsr4_acsr_C
P0039,m1186067,S1,m,3,3-phase,40,12.19,-119.0910683,46.68073852,25,d6048634-1_int,,138.4,42.18,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0040,m1209824,S1,m,1,1-phase,35,10.67,-119.0870043,46.70517564,26,m1209823,P0038,302.3,92.14,1ph-xx2_acsr2_acsr_C
P0041,m3032980,S1,m,3,3-phase,40,12.19,-119.0917758,46.68033208,26,m1186067,P0039,164.5,50.14,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0042,m1209828,S1,m,1,1-phase,35,10.67,-119.0868213,46.70876206,27,m1209824,P0040,824.2,251.22,1ph-xx2_acsr2_acsr_C
P0043,m3032977,S1,m,3,3-phase,40,12.19,-119.0960884,46.68104588,27,m3032980,P0041,844.6,257.43,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0044,m3032981,S1,m,3,3-phase,40,12.19,-119.0910751,46.6797604,27,m3032980,P0041,84.9,25.88,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0045,l3253570,S1,l,1,1-phase,35,10.67,-119.0861886,46.70898784,28,m1209828,P0042,131.8,40.17,1ph-xx2_acsr2_acsr_C
P0046,l2861157,S1,l,1,1-phase,35,10.67,-119.0880439,46.70902464,28,m1209828,P0042,241.8,73.7,1ph-xx2_acsr2_acsr_C
P0047,m1166366,S1,m,3,3-phase,40,12.19,-119.1013242,46.68152696,28,m3032977,P0043,1009.3,307.63,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0048,l2937757,S1,l,1,1-phase,35,10.67,-119.085172,46.70993024,29,l3253570,P0045,291,88.7,1ph-xx2_acsr2_acsr_C
P0049,p901951,S1,p,1,1-phase,35,10.67,-119.0898638,46.70986304,29,l2861157,P0046,398.1,121.34,1ph-xx2_acsr2_acsr_C
P0050,m1166368,S1,m,3,3-phase,40,12.19,-119.1020214,46.68161568,29,m1166366,P0047,135.1,41.18,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0051,p830058,S1,p,1,1-phase,35,10.67,-119.1013184,46.6816545,29,m1166366,P0047,29.3,8.93,1ph-xx4_wpal4_wpal_C
P0052,m1186065,S1,m,3,3-phase,40,12.19,-119.0893628,46.67936536,29,d6504019-6_int,,526.3,160.42,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0053,l3067448,S1,l,1,1-phase,35,10.67,-119.084263,46.71080208,30,l2937757,P0048,265.3,80.86,1ph-xx2_acsr2_acsr_C
P0054,m1186078,S1,m,1,1-phase,35,10.67,-119.0911846,46.712111,30,p901951,P0049,575.6,175.44,1ph-xx4_wpal4_wpal_C
P0055,l3086098,S1,l,1,1-phase,35,10.67,-119.1020226,46.68090962,30,m1166368,P0050,162.1,49.41,1ph-2_acsrxx2_acsr_A
P0056,l2973833,S1,l,3,3-phase,40,12.19,-119.1038052,46.68181916,30,m1166368,P0050,344.8,105.1,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0057,m1166370,S1,m,1,1-phase,35,10.67,-119.1013127,46.68178112,30,p830058,P0051,29.1,8.87,1ph-xx4_wpal4_wpal_C
P0058,m1186064,S1,m,3,3-phase,40,12.19,-119.0883409,46.67886708,30,m1186065,P0052,226.7,69.1,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0059,p829977,S1,p,3,3-phase,40,12.19,-119.0904562,46.6784125,30,m1186065,P0052,302.9,92.32,3ph_h-2/0_acsr2/0_acsr2/0_acsr4_acsr_ABC
P0060,l2763407,S1,l,1,1-phase,35,10.67,-119.0805461,46.7116136,31,l3067448,P0053,835,254.51,1ph-xx2_acsr2_acsr_C
P0061,l2806553,S1,l,1,1-phase,35,10.67,-119.0918029,46.71317582,31,m1186078,P0054,271.6,82.78,1ph-xx4_wpal4_wpal_C
P0062,m1166373,S1,m,3,3-phase,40,12.19,-119.1045127,46.68186144,31,l2973833,P0056,135.8,41.39,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0063,m1166364,S1,m,1,1-phase,35,10.67,-119.1013504,46.68128628,31,m1166370,P0057,155.9,47.52,1ph-xx2_acsr2_acsr_C
P0064,l3067506,S1,l,1,1-phase,35,10.67,-119.1012812,46.68529536,31,m1166370,P0057,807,245.97,1ph-xx4_wpal4_wpal_C
P0065,m1186063,S1,m,3,3-phase,40,12.19,-119.0882596,46.67883856,31,m1186064,P0058,16.9,5.15,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0066,m1186061,S1,m,3,3-phase,40,12.19,-119.0912744,46.67759044,31,p829977,P0059,245.3,74.77,3ph_h-2_acsr2_acsr4_acsr4_acsr_ABC
P0067,m1166391,S1,m,1,1-phase,35,10.67,-119.1017149,46.71669726,32,l2806553,P0061,2063.3,628.89,1ph-xx4_wpal4_acsr_C
P0068,m1166374,S1,m,3,3-phase,40,12.19,-119.1046724,46.68187098,32,m1166373,P0062,30.7,9.36,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0069,m1166369,S1,m,1,1-phase,35,10.67,-119.1046384,46.68176208,32,m1166373,P0062,33.7,10.27,1ph-4_wpalxx4_wpal_A
P0070,m1166358,S1,m,1,1-phase,35,10.67,-119.1014661,46.68022404,32,m1166364,P0063,244.9,74.65,1ph-xx2_acsr2_acsr_C
P0071,m1166386,S1,m,1,1-phase,35,10.67,-119.102033,46.68486282,32,l3067506,P0064,174.9,53.31,1ph-xx4_acsr4_acsr_C
P0072,p829979,S1,p,1,1-phase,35,10.67,-119.0882564,46.67878262,32,m1186063,P0065,12.8,3.9,1ph-x2_acsrx2_acsr_B
P0073,m1209776,S1,m,3,3-phase,40,12.19,-119.0872573,46.67858826,32,m1186063,P0065,200.4,61.08,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0074,l2861223,S1,l,1,1-phase,35,10.67,-119.0917642,46.6772668,32,m1186061,P0066,119.7,36.48,1ph-x4_acsrx4_acsr_B
P0075,l3139366,S1,l,3,3-phase,40,12.19,-119.0903993,46.67571756,32,m1186061,P0066,461.5,140.67,3ph_h-2_acsr2_acsr2_acsr2_acsr_ABC
P0076,l3254873,S1,l,1,1-phase,35,10.67,-119.1034851,46.71704652,33,m1166391,P0067,348.3,106.16,1ph-xx4_wpal4_acsr_C
P0077,m1166394,S1,m,1,1-phase,35,10.67,-119.1026317,46.71766214,33,m1166391,P0067,283.3,86.35,1ph-xx4_acsr4_acsr_C
P0078,l2786266,S1,l,3,3-phase,40,12.19,-119.1058218,46.68199478,33,m1166374,P0068,221.9,67.64,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0079,p829978,S1,p,1,1-phase,35,10.67,-119.1046204,46.68170442,33,m1166369,P0069,13.7,4.18,1ph-4_wpalxx4_wpal_A
P0080,l2839305,S1,l,1,1-phase,35,10.67,-119.1051966,46.68116646,33,m1166369,P0069,195.5,59.59,1ph-4_wpalxx4_wpal_A
P0081,l3030205,S1,l,1,1-phase,35,10.67,-119.1023517,46.6797476,33,m1166358,P0070,201.8,61.51,1ph-xx2_acsr2_acsr_C
P0082,l3048966,S1,l,1,1-phase,35,10.67,-119.1028479,46.6842702,33,m1166386,P0071,207.1,63.12,1ph-xx4_acsr4_acsr_C
P0083,l2898515,S1,l,1,1-phase,35,10.67,-119.1024577,46.6875866,33,m1166386,P0071,656.2,200.01,1ph-xx4_acsr4_acsr_C
P0084,m3036172,S1,m,1,1-phase,35,10.67,-119.0882291,46.67831776,33,p829979,P0072,106.9,32.58,1ph-x2_acsrx2_acsr_B
P0085,m1209775,S1,m,3,3-phase,40,12.19,-119.0861252,46.67848398,33,m1209776,P0073,218.1,66.48,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0086,m4362177,S1,m,3,3-phase,40,12.19,-119.0901658,46.67407694,33,l3139366,P0075,379.3,115.61,3ph_h-2_acsr2_acsr2_acsr2_acsr_ABC
P0087,m1166393,S1,m,1,1-phase,35,10.67,-119.1040179,46.7172401,34,l3254873,P0076,111.3,33.92,1ph-xx4_wpal4_acsr_C
P0088,m1166398,S1,m,1,1-phase,35,10.67,-119.1018492,46.71834258,34,m1166394,P0077,216.5,65.99,1ph-xx4_acsr4_acsr_C
P0089,m1166375,S1,m,3,3-phase,40,12.19,-119.1064092,46.68205734,34,l2786266,P0078,113.4,34.56,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0090,l2992656,S1,l,1,1-phase,35,10.67,-119.1043812,46.68093756,34,p829978,P0079,181.9,55.44,1ph-4_wpalxx4_wpal_A
P0091,m1166361,S1,m,1,1-phase,35,10.67,-119.106887,46.68086428,34,l2839305,P0080,331.1,100.92,1ph-4_wpalxx4_wpal_A
P0092,m1166387,S1,m,1,1-phase,35,10.67,-119.1025047,46.68843754,34,l2898515,P0083,195.6,59.62,1ph-xx4_acsr4_acsr_C
P0093,l3086079,S1,l,1,1-phase,35,10.67,-119.0882712,46.67830164,34,m3036172,P0084,8.9,2.71,1ph-x4_acsrx4_acsr_B
P0094,m1209763,S1,m,1,1-phase,35,10.67,-119.0863755,46.67749588,34,m3036172,P0084,402,122.53,1ph-x4_acsrx4_acsr_B
P0095,m1209774,S1,m,3,3-phase,40,12.19,-119.0833936,46.67811852,34,m1209775,P0085,531.7,162.06,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0096,m1186052,S1,m,3,3-phase,40,12.19,-119.0901074,46.67314206,34,m4362177,P0086,214.9,65.5,3ph_h-2_acsr2_acsr2_acsr2_acsr_ABC
P0097,l2745811,S1,l,1,1-phase,35,10.67,-119.1055504,46.716076,35,m1166393,P0087,405.4,123.57,1ph-xx2_acsr2_acsr_C
P0098,m1166395,S1,m,1,1-phase,35,10.67,-119.103118,46.71780292,35,m1166393,P0087,215.4,65.65,1ph-xx2_acsr2_acsr_C
P0099,l3142050,S1,l,1,1-phase,35,10.67,-119.1009512,46.7190103,35,m1166398,P0088,230.4,70.23,1ph-xx4_acsr4_acsr_C
P0100,l2842383,S1,l,3,3-phase,40,12.19,-119.1080248,46.68237166,35,m1166375,P0089,317.7,96.83,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0101,p895080,S1,p,1,1-phase,35,10.67,-119.1064137,46.68219676,35,m1166375,P0089,32,9.75,1ph-2_acsrxx2_acsr_A
P0102,m1166356,S1,m,1,1-phase,35,10.67,-119.1041407,46.68011148,35,l2992656,P0090,195.2,59.5,1ph-4_wpalxx4_wpal_A
P0103,l2989600,S1,l,1,1-phase,35,10.67,-119.1071373,46.68098334,35,m1166361,P0091,55.2,16.82,1ph-4_wpalxx4_wpal_A
P0104,l2692661,S1,l,1,1-phase,35,10.67,-119.107378,46.68176252,35,m1166361,P0091,226.6,69.07,1ph-4_wpalxx4_wpal_A
P0105,l3198347,S1,l,1,1-phase,35,10.67,-119.1044357,46.68887796,35,m1166387,P0092,383.4,116.86,1ph-xx4_acsr4_acsr_C
P0106,l3048946,S1,l,1,1-phase,35,10.67,-119.1025821,46.68965676,35,m1166387,P0092,280.3,85.44,1ph-xx4_acsr4_acsr_C
P0107,l2936276,S1,l,1,1-phase,35,10.67,-119.0894096,46.67786608,35,l3086079,P0093,239.9,73.12,1ph-x4_acsrx4_acsr_B
P0108,l2936275,S1,l,1,1-phase,35,10.67,-119.0847642,46.67682492,35,m1209763,P0094,344.9,105.13,1ph-x4_acsrx4_acsr_B
P0109,l3123509,S1,l,3,3-phase,40,12.19,-119.0823296,46.67801428,35,m1209774,P0095,205.2,62.54,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0110,m4122657,S1,m,1,1-phase,35,10.67,-119.1062174,46.71553226,36,l2745811,P0097,178.6,54.44,1ph-xx2_acsr2_acsr_C
P0111,m1166396,S1,m,1,1-phase,35,10.67,-119.1032177,46.71787584,36,m1166395,P0098,25.4,7.74,1ph-xx2_acsr2_acsr_C
P0112,m1166400,S1,m,1,1-phase,35,10.67,-119.102353,46.71876628,36,m1166395,P0098,265.3,80.86,1ph-xx2_acsr2_acsr_C
P0113,l2917333,S1,l,1,1-phase,35,10.67,-119.1064526,46.68339366,36,p895080,P0101,274.9,83.79,1ph-2_acsrxx2_acsr_A
P0114,l2730187,S1,l,1,1-phase,35,10.67,-119.1032706,46.68016964,36,m1166356,P0102,167.2,50.96,1ph-4_acsrxx4_acsr_A
P0115,l3104856,S1,l,1,1-phase,35,10.67,-119.1051724,46.67933094,36,m1166356,P0102,266.7,81.29,1ph-4_acsrxx4_acsr_A
P0116,l2727019,S1,l,1,1-phase,35,10.67,-119.1040989,46.67923582,36,m1166356,P0102,201.2,61.33,1ph-4_acsrxx4_acsr_A
P0117,m1166362,S1,m,1,1-phase,35,10.67,-119.108839,46.68103922,36,l2989600,P0103,326.1,99.4,1ph-4_acsrxx4_acsr_A
P0118,l3179674,S1,l,1,1-phase,35,10.67,-119.0833718,46.67624654,36,l2936275,P0108,297.9,90.8,1ph-x4_acsrx4_acsr_B
P0119,m1209772,S1,m,3,3-phase,40,12.19,-119.0807731,46.67790804,36,l3123509,P0109,299.1,91.17,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0120,l3011293,S1,l,3,3-phase,40,12.19,-119.0831217,46.67891052,36,221-242079,,186.2,56.75,3p_1/0_axnj_db_ABC
P0121,l3027124,S1,l,1,1-phase,35,10.67,-119.1085821,46.71412868,37,m4122657,P0110,724.4,220.8,1ph-xx2_acsr2_acsr_C
P0122,m1166399,S1,m,1,1-phase,35,10.67,-119.1041778,46.71840648,37,m1166396,P0111,220.6,67.24,1ph-xx2_acsr2_acsr_C
P0123,l3179637,S1,l,1,1-phase,35,10.67,-119.1016563,46.71964526,37,m1166400,P0112,241.9,73.73,1ph-xx2_acsr2_acsr_C
P0124,e184626,S1,e,3,3-phase,40,12.19,-119.1089321,46.6823701,37,d6023352-1_int,,0,0,
P0125,m1166355,S1,m,1,1-phase,35,10.67,-119.109635,46.67980144,37,m1166362,P0117,338.9,103.3,1ph-4_acsrxx4_acsr_A
P0126,l2898522,S1,l,1,1-phase,35,10.67,-119.1096385,46.68176404,37,m1166362,P0117,226.2,68.95,1ph-4_acsrxx4_acsr_A
P0127,m1209758,S1,m,1,1-phase,35,10.67,-119.0816256,46.6753494,37,l3179674,P0118,393.4,119.91,1ph-x2_acsrx2_acsr_B
P0128,e192258,S1,e,3,3-phase,40,12.19,-119.0777952,46.67772024,37,m1209772,P0119,572,174.35,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0129,l3234149,S1,l,3,3-phase,40,12.19,-119.0906349,46.67244114,37,221-311359,,158.1,48.19,3p_1/0_axnj_db_ABC
P0130,l3048890,S1,l,1,1-phase,35,10.67,-119.1054323,46.71898146,38,m1166399,P0122,274.1,83.55,1ph-xx2_acsr2_acsr_C
P0131,m1166377,S1,m,3,3-phase,40,12.19,-119.1091086,46.68236204,38,e184626,P0124,33.9,10.33,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0132,l2858200,S1,l,1,1-phase,35,10.67,-119.1092078,46.6782843,38,m1166355,P0125,367.5,112.01,1ph-4_acsrxx4_acsr_A
P0133,l2805035,S1,l,1,1-phase,35,10.67,-119.1097583,46.67887444,38,m1166355,P0125,214.1,65.26,1ph-4_acsrxx4_acsr_A
P0134,m1209753,S1,m,1,1-phase,35,10.67,-119.0817037,46.67362044,38,m1209758,P0127,397.3,121.1,1ph-x2_acsrx2_acsr_B
P0135,m1209der480-1,S1,m,3,3-phase,40,12.19,-119.0767151,46.6777131,38,e192258,P0128,0,0,
P0136,m1166402,S1,m,1,1-phase,35,10.67,-119.1062601,46.7195368,39,l3048890,P0130,203.4,62,1ph-xx2_acsr2_acsr_C
P0137,m1166376,S1,m,3,3-phase,40,12.19,-119.1096861,46.68233676,39,m1166377,P0131,110.8,33.77,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0138,m1209748,S1,m,1,1-phase,35,10.67,-119.0818341,46.6706806,39,m1209753,P0134,675.9,206.01,1ph-x2_acsrx2_acsr_B
P0139,m1209752,S1,m,1,1-phase,35,10.67,-119.0838684,46.6728463,39,m1209753,P0134,507.7,154.75,1ph-x2_acsrx2_acsr_B
P0140,m1209-dies1,S1,m,3,3-phase,40,12.19,-119.0761929,46.6777131,39,m1209der480-1,P0135,0,0,
P0141,l3048889,S1,l,1,1-phase,35,10.67,-119.1074316,46.72044908,40,m1166402,P0136,307.1,93.6,1ph-xx2_acsr2_acsr_C
P0142,l2842384,S1,l,3,3-phase,40,12.19,-119.1097759,46.68233284,40,m1166376,P0137,17.2,5.24,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0143,l3142099,S1,l,1,1-phase,35,10.67,-119.0832084,46.67072098,40,m1209748,P0138,263.3,80.25,1ph-x2_acsrx2_acsr_B
P0144,m1209751,S1,m,1,1-phase,35,10.67,-119.0863755,46.67201596,40,m1209752,P0139,516.6,157.46,1ph-x2_acsrx2_acsr_B
P0145,m1166407,S1,m,1,1-phase,35,10.67,-119.1088023,46.72095418,41,l3048889,P0141,287,87.48,1ph-xx2_acsr2_acsr_C
P0146,m1149236,S1,m,3,3-phase,40,12.19,-119.1109343,46.68226664,41,l2842384,P0142,222.4,67.79,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0147,m1209750,S1,m,1,1-phase,35,10.67,-119.086437,46.6719961,41,m1209751,P0144,12.6,3.84,1ph-x2_acsrx2_acsr_B
P0148,l3064514,S1,l,1,1-phase,35,10.67,-119.112272,46.72544138,42,m1166407,P0145,1228.6,374.48,1ph-xx4_wpal4_acsr_C
P0149,l2952007,S1,l,1,1-phase,35,10.67,-119.1113805,46.72097902,42,m1166407,P0145,493.8,150.51,1ph-xx4_acsr4_acsr_C
P0150,p829974,S1,p,1,1-phase,35,10.67,-119.1109185,46.68220684,42,m1149236,P0146,14.1,4.3,1ph-4_acsrxx4_acsr_A
P0151,m1149235,S1,m,3,3-phase,40,12.19,-119.1116456,46.68224172,42,m1149236,P0146,136.4,41.57,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0152,m1209749,S1,m,1,1-phase,35,10.67,-119.0863755,46.6718856,42,m1209750,P0147,28,8.53,1ph-x2_acsrx2_acsr_B
P0153,l3086075,S1,l,1,1-phase,35,10.67,-119.0871542,46.67353218,42,m1209750,P0147,378.4,115.34,1ph-x2_acsrx2_acsr_B
P0154,l3048888,S1,l,1,1-phase,35,10.67,-119.1128654,46.72618202,43,l3064514,P0148,204.5,62.33,1ph-xx4_wpal4_acsr_C
P0155,l2861158,S1,l,1,1-phase,35,10.67,-119.1135474,46.72103634,43,l2952007,P0149,415.2,126.55,1ph-xx4_acsr4_acsr_C
P0156,l2805034,S1,l,1,1-phase,35,10.67,-119.1106745,46.68128346,43,p829974,P0150,217.1,66.17,1ph-4_acsrxx4_acsr_A
P0157,p829975,S1,p,1,1-phase,35,10.67,-119.1115866,46.6823162,43,m1149235,P0151,20.5,6.25,1ph-xx4_acsr4_acsr_C
P0158,l2748840,S1,l,1,1-phase,35,10.67,-119.084784,46.6693056,43,m1209749,P0152,666.6,203.18,1ph-x2_acsrx2_acsr_B
P0159,m1149249,S1,m,1,1-phase,35,10.67,-119.113966,46.72746802,44,l3048888,P0154,362.8,110.58,1ph-xx4_acsr4_acsr_C
P0160,l3160871,S1,l,1,1-phase,35,10.67,-119.1114689,46.68246466,44,p829975,P0157,40.9,12.47,1ph-xx4_acsr4_acsr_C
P0161,m1142880,S1,m,1,1-phase,35,10.67,-119.1158754,46.73035614,45,m1149249,P0159,761.8,232.2,1ph-xx4_acsr4_acsr_C
P0162,l3030203,S1,l,1,1-phase,35,10.67,-119.1118364,46.68370602,45,l3160871,P0160,293.5,89.46,1ph-xx4_acsr4_acsr_C
P0163,l2764411,S1,l,1,1-phase,35,10.67,-119.1174134,46.73153992,46,m1142880,P0161,400.8,122.16,1ph-xx4_acsr4_acsr_C
P0164,l2891575,S1,l,1,1-phase,35,10.67,-119.1172165,46.72949188,46,m1142880,P0161,324.5,98.91,1ph-xx4_acsr4_acsr_C
P0165,l3179673,S1,l,1,1-phase,35,10.67,-119.1120871,46.68445132,46,l3030203,P0162,177.7,54.16,1ph-xx4_acsr4_acsr_C
P0166,l2767343,S1,l,1,1-phase,35,10.67,-119.1177704,46.73226614,47,l2764411,P0163,180.2,54.92,1ph-xx4_acsr4_acsr_C
P0167,m1149233,S1,m,3,3-phase,40,12.19,-119.1129483,46.68218458,47,r42247,,130.4,39.75,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0168,l2804957,S1,l,1,1-phase,35,10.67,-119.1183422,46.73310458,48,l2767343,P0166,221.4,67.48,1ph-xx4_acsr4_acsr_C
P0169,l3048965,S1,l,3,3-phase,40,12.19,-119.114612,46.6820779,48,m1149233,P0167,319.5,97.38,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0170,l3048937,S1,l,1,1-phase,35,10.67,-119.1188261,46.73385528,49,l2804957,P0168,195.7,59.65,1ph-xx2_acsr2_acsr_C
